Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
-10,53,0.064650356,0.4913435,0.444006144
-10,54,0.061968148,0.515671152,0.4223607
-9,52,0.060480157,0.508263012,0.431256831
-9,53,0.059823116,0.514021109,0.426155775
-9,54,0.059206364,0.53161571,0.409177926
-9,55,0.058851338,0.555864802,0.38528386
-8,53,0.055004658,0.543439091,0.401556251
-8,54,0.055782915,0.554911971,0.389305115
-8,55,0.054890815,0.575182202,0.369926983
-8,56,0.054750274,0.57115972,0.374090007
-7,53,0.051673381,0.549358665,0.398967954
-7,54,0.050901607,0.556232442,0.392865952
-7,55,0.050169313,0.580597441,0.369233246
-7,58,0.052344744,0.536597103,0.411058154
-6,51,0.050299699,0.517464221,0.432236081
-6,55,0.046476301,0.577348549,0.37617515
-6,56,0.047904326,0.560295105,0.391800569
-6,57,0.050259589,0.544296617,0.405443794
-6,58,0.050544771,0.546918309,0.40253692
-6,59,0.050501107,0.556597572,0.39290132
-5,49,0.050016354,0.50031663,0.449667016
-5,51,0.049561209,0.514444568,0.435994223
-5,53,0.048013984,0.546030675,0.405955341
-5,55,0.04319138,0.542862802,0.413945819
-5,56,0.045854982,0.556658725,0.397486293
-5,57,0.151790096,0.497539077,0.350670827
-5,58,0.048902899,0.541471503,0.409625599
-5,59,0.048838981,0.543607913,0.407553106
-4,48,0.051679965,0.49132099,0.456999045
-4,49,0.048897446,0.49771068,0.453391875
-4,51,0.048871032,0.505432565,0.445696404
-4,52,0.049240515,0.512200529,0.438558956
-4,53,0.045757711,0.532107793,0.422134497
-4,54,0.044605896,0.543930308,0.411463796
-4,55,0.045368246,0.567492846,0.387138909
-4,56,0.041866594,0.559038954,0.399094452
-4,57,0.043126089,0.562627799,0.394246112
-4,58,0.044495546,0.558030234,0.39747422
-4,59,0.046655376,0.532462827,0.420881797
-3,49,0.04839012,0.501287443,0.450322438
-3,51,0.045375935,0.515121129,0.439502937
-3,52,0.043720719,0.522204607,0.434074674
-3,53,0.042532653,0.534261866,0.42320548
-3,54,0.043351017,0.542470389,0.414178594
-3,55,0.041753791,0.574610691,0.383635518
-3,56,0.036716454,0.587356493,0.375927053
-3,57,0.037449725,0.601907281,0.360642994
-3,58,0.039799424,0.585244317,0.374956259
-2,47,0.057237741,0.510753928,0.432008331
-2,48,0.053922086,0.502405994,0.44367192
-2,49,0.04848783,0.501297234,0.450214937
-2,50,0.044908226,0.509962834,0.44512894
-2,51,0.043890839,0.528371978,0.427737183
-2,52,0.041298026,0.537157984,0.421543991
-2,53,0.039598771,0.557824938,0.402576292
-2,54,0.038568288,0.576228305,0.385203407
-2,55,0.036570928,0.592988619,0.370440453
-2,56,0.036256343,0.619444989,0.344298668
-1,45,0.06448723,0.536865333,0.398647437
-1,46,0.061872213,0.520365088,0.417762699
-1,47,0.05926835,0.508854098,0.431877552
-1,48,0.055969328,0.491650802,0.452379869
-1,49,0.049590622,0.493291215,0.457118163
