Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
6,50,0.148980139,0.483806838,0.367213023
6,51,0.093976927,0.517997816,0.388025258
6,52,0.058617778,0.48383284,0.457549382
6,53,0.064716794,0.481385597,0.453897609
6,54,0.053742732,0.440706025,0.505551244
6,59,0.183528002,0.391363736,0.425108262
6,60,0.215723164,0.37387816,0.410398676
6,61,0.233403783,0.353067662,0.413528555
6,62,0.198546377,0.35378096,0.447672664
6,63,0.199889832,0.352552703,0.447557466
7,45,0.518663702,0.251635538,0.22970076
7,46,0.764267927,0.14823545,0.087496624
7,47,0.60529993,0.253049714,0.141650356
7,48,0.283775601,0.410899789,0.30532461
7,49,0.215469031,0.465912482,0.318618487
7,50,0.156093483,0.503314423,0.340592095
7,51,0.102728905,0.522249873,0.375021223
7,52,0.074742037,0.513911263,0.4113467
7,53,0.06700405,0.492699526,0.440296424
7,54,0.057143781,0.453704103,0.489152117
7,59,0.207390449,0.396287255,0.396322297
7,60,0.256793507,0.363103945,0.380102549
7,61,0.282876385,0.350276543,0.366847072
7,62,0.233992862,0.346863041,0.419144097
7,63,0.180091434,0.345199025,0.474709542
8,45,0.236377418,0.364835446,0.398787136
8,46,0.458962264,0.274482856,0.26655488
8,47,0.64009872,0.234467253,0.125434028
8,48,0.32128038,0.401512575,0.277207045
8,49,0.327954043,0.445334255,0.226711702
8,50,0.144891059,0.508226883,0.346882058
8,51,0.120438497,0.52462987,0.354931632
8,52,0.103075274,0.536831812,0.360092914
8,53,0.065915773,0.497865722,0.436218505
8,54,0.062137023,0.469101539,0.468761439
8,55,0.04622083,0.426669079,0.527110091
8,56,0.043588395,0.421002324,0.535409281
8,57,0.038347043,0.407424555,0.554228402
8,59,0.165687806,0.438192576,0.396119619
8,60,0.246911136,0.398739153,0.354349711
8,61,0.313684652,0.359407406,0.326907942
8,62,0.1947631,0.328733895,0.476503005
8,63,0.146962748,0.34022849,0.512808762
8,64,0.202204667,0.359582873,0.43821246
9,45,0.289921236,0.355280475,0.354798288
9,46,0.468411575,0.264478826,0.267109599
9,47,0.62042047,0.233847219,0.145732311
9,48,0.459274223,0.351187866,0.189537911
9,49,0.326005186,0.445405621,0.228589193
9,50,0.222978909,0.494815379,0.282205713
9,51,0.225592886,0.511357517,0.263049597
9,52,0.117551419,0.54000233,0.342446251
9,53,0.072978178,0.514886337,0.412135486
9,54,0.06731425,0.501700209,0.430985541
9,55,0.058623958,0.481392398,0.459983644
9,56,0.048717789,0.467973131,0.48330908
9,57,0.043582559,0.46822292,0.488194521
9,58,0.043129405,0.464542452,0.492328143
9,59,0.119667332,0.485280931,0.395051737
9,60,0.179525563,0.457516681,0.362957756
9,61,0.263292219,0.411383348,0.325324433
9,62,0.271734709,0.366923065,0.361342226
9,63,0.154653695,0.349663015,0.495683291
9,64,0.214302877,0.377344201,0.408352923
10,45,0.317285426,0.339659557,0.343055017
10,46,0.739904793,0.14860491,0.111490297
10,47,0.657887385,0.162720332,0.179392284
10,48,0.540023684,0.302772532,0.157203784
10,49,0.38047604,0.399096502,0.220427458
10,50,0.369734954,0.418333179,0.211931868
10,51,0.289829312,0.465605559,0.244565129
10,52,0.15505991,0.523224744,0.321715347
10,53,0.094081561,0.525317364,0.380601075
10,54,0.080695005,0.537313563,0.381991432
10,55,0.064123969,0.532281892,0.403594139
10,56,0.045296657,0.51735626,0.437347082
10,57,0.04219435,0.517957869,0.439847782
10,58,0.046365146,0.521170038,0.432464816
10,60,0.130789563,0.505170765,0.364039672
10,61,0.222116935,0.46495252,0.312930546
10,62,0.26890721,0.41130189,0.3197909
10,63,0.203569235,0.396290142,0.400140624
10,64,0.222588189,0.395041103,0.382370708
10,65,0.217511643,0.393345472,0.389142886
11,45,0.303341161,0.340803743,0.355855096
11,46,0.675306643,0.181380324,0.143313034
11,47,0.721922252,0.169715658,0.108362091
11,48,0.597860082,0.260726597,0.141413321
11,49,0.475927823,0.327953687,0.196118489
11,50,0.471311346,0.341981893,0.186706762
11,51,0.425113486,0.382881437,0.192005077
11,52,0.161903185,0.481751567,0.356345248
11,53,0.120112348,0.504272906,0.375614746
11,54,0.095675094,0.542872183,0.361452723
11,55,0.057666649,0.534026188,0.408307163
11,56,0.047472152,0.561306894,0.391220953
11,58,0.063321095,0.567059395,0.36961951
11,59,0.107210559,0.569424033,0.323365408
11,60,0.142993881,0.54532706,0.311679059
11,61,0.209098311,0.500592966,0.290308722
11,62,0.284255492,0.436525703,0.279218804
11,63,0.238806086,0.419064858,0.342129056
11,64,0.237698485,0.417492554,0.344808961
11,65,0.237103377,0.413424517,0.349472106
12,45,0.182119857,0.356327249,0.461552894
12,46,0.425642013,0.267467598,0.306890389
12,47,0.756635002,0.149179201,0.094185797
12,48,0.643729525,0.225152213,0.131118262
