Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
-10,52,0.032421034,0.189787569,0.777791397
-10,53,0.029878734,0.18603755,0.784083717
-10,54,0.027338574,0.174962623,0.797698803
-10,55,0.025590378,0.159798886,0.814610736
-9,52,0.031665176,0.180197334,0.78813749
-9,53,0.029476072,0.177830265,0.792693663
-9,54,0.027085458,0.165288076,0.807626465
-9,55,0.025715475,0.157756989,0.816527536
-8,53,0.029612497,0.170284267,0.800103237
-8,54,0.027098995,0.152293449,0.820607556
-8,55,0.025280003,0.154355549,0.820364447
-8,56,0.023368938,0.142468624,0.834162438
-7,53,0.029223637,0.163054905,0.807721458
-7,54,0.026656776,0.153699689,0.819643536
-7,55,0.02520842,0.153348656,0.821442924
-7,56,0.023624688,0.141438143,0.834937169
-7,58,0.021418726,0.123391483,0.855189791
-7,59,0.02310689,0.122866638,0.854026472
-6,51,0.033085559,0.173354271,0.79356017
-6,55,0.024914445,0.148234799,0.826850756
-6,56,0.023916819,0.126632492,0.84945069
-6,57,0.02146641,0.114926126,0.863607465
-6,58,0.022951888,0.126709583,0.850338529
-6,59,0.024067652,0.125997578,0.84993477
-5,49,0.036636198,0.179411677,0.783952125
-5,51,0.03246917,0.163252319,0.804278511
-5,52,0.030053431,0.156487506,0.813459063
-5,53,0.028795659,0.156769279,0.814435062
-5,54,0.026239513,0.151435044,0.822325444
-5,55,0.024744523,0.134457715,0.840797762
-5,56,0.024080403,0.11178699,0.864132607
-5,57,0.093408533,0.179667391,0.726924076
-5,58,0.023821322,0.123070184,0.853108493
-5,59,0.025063752,0.126911245,0.848025003
-4,48,0.038569461,0.174105934,0.787324605
-4,49,0.036073563,0.178634314,0.785292123
-4,51,0.033056271,0.149804796,0.817138933
-4,52,0.031126621,0.133989129,0.83488425
-4,53,0.03038493,0.150795045,0.818820025
-4,54,0.027814115,0.146147305,0.82603858
-4,55,0.026765114,0.128619152,0.844615735
-4,56,0.025648979,0.118228508,0.856122514
