Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
5,62,0.209175059,0.201610207,0.589214735
6,45,0.3167904,0.106277336,0.576932265
6,46,0.321323896,0.131829248,0.546846857
6,47,0.301036648,0.157580518,0.541382835
6,48,0.285526853,0.186599892,0.527873255
6,49,0.173890909,0.212822898,0.613286193
6,50,0.143390247,0.214034219,0.642575534
6,51,0.123086916,0.219350266,0.657562817
6,52,0.084833126,0.201926664,0.713240209
6,53,0.07614443,0.191808331,0.732047239
6,54,0.070103538,0.183347997,0.746548466
6,59,0.193865066,0.190488787,0.615646147
6,60,0.203514215,0.186339415,0.610146371
6,61,0.220545639,0.184182353,0.595272008
6,62,0.215775865,0.206156188,0.578067948
6,63,0.229277465,0.216562896,0.554159639
7,45,0.151314876,0.10311823,0.745566894
7,46,0.331280355,0.106196384,0.562523261
7,47,0.348590581,0.14523772,0.5061717
7,48,0.282975101,0.182799126,0.534225773
7,49,0.200641401,0.212250537,0.587108062
7,50,0.172743233,0.219729622,0.607527146
7,51,0.13190283,0.218179028,0.649918141
7,52,0.099391893,0.209669812,0.690938295
7,53,0.075528443,0.194243888,0.73022767
7,54,0.0610973,0.18190265,0.75700005
7,59,0.215833223,0.199629086,0.584537692
7,60,0.221617013,0.193261524,0.585121464
7,61,0.268432181,0.191700076,0.539867744
7,62,0.245216863,0.209435071,0.545348066
7,63,0.220305299,0.234400597,0.545294104
8,45,0.116449879,0.127419858,0.756130263
8,46,0.152767271,0.104500195,0.742732533
8,47,0.371296799,0.133529554,0.495173647
8,48,0.3308011,0.168912826,0.500286074
8,49,0.361465743,0.20422844,0.434305818
8,50,0.172682237,0.219142308,0.608175456
8,51,0.194025909,0.219360875,0.586613216
8,52,0.191535438,0.223151636,0.585312926
8,53,0.07609746,0.19869633,0.72520621
8,54,0.065151399,0.190551207,0.744297394
8,59,0.222705328,0.231701146,0.545593526
8,60,0.25712174,0.218242131,0.524636129
8,61,0.331691363,0.201760992,0.466547645
8,62,0.200081821,0.219305528,0.580612651
8,63,0.194771629,0.255019975,0.550208396
8,64,0.28620364,0.240782103,0.473014257
9,45,0.154142752,0.130004122,0.715853126
9,46,0.198197459,0.100230743,0.701571798
9,47,0.354157082,0.124144393,0.521698526
