Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
-10,52,0.028645713,0.234392219,0.736962068
-10,53,0.026740045,0.233427817,0.739832138
-10,54,0.025307438,0.229067785,0.745624776
-10,55,0.025340008,0.211877498,0.762782494
-9,52,0.028582115,0.227225572,0.744192313
-9,53,0.027108099,0.231643157,0.741248744
-9,54,0.025913097,0.222329552,0.751757351
-9,55,0.025651866,0.211869766,0.762478368
-8,53,0.027573536,0.22586832,0.746558144
-8,54,0.026611798,0.209599318,0.763788884
-8,55,0.024780803,0.209124874,0.766094323
-8,56,0.024207192,0.18951657,0.786276238
-7,53,0.026362004,0.211631183,0.762006813
-7,54,0.024953707,0.207581382,0.767464911
-7,55,0.02360377,0.202956667,0.773439563
-7,56,0.023208684,0.184106413,0.792684903
-7,58,0.024303827,0.147726635,0.827969538
-7,59,0.026077183,0.136797208,0.837125609
-6,51,0.025264572,0.195525923,0.779209505
-6,55,0.022773735,0.185733015,0.79149325
-6,56,0.023996087,0.156307135,0.819696778
-6,57,0.0237298,0.140893648,0.835376552
-6,58,0.024498934,0.147201481,0.828299585
-6,59,0.025982912,0.138231698,0.83578539
-5,49,0.02474174,0.183170389,0.792087871
-5,51,0.023962184,0.175227172,0.800810644
-5,52,0.023304427,0.174396638,0.802298935
-5,53,0.023127412,0.1791365,0.797736089
-5,54,0.021812805,0.176379948,0.801807247
-5,55,0.022278608,0.155943495,0.821777897
-5,56,0.024461118,0.128330556,0.847208326
-5,57,0.093680223,0.210045077,0.696274701
-5,58,0.024648331,0.137770314,0.837581356
-5,59,0.025263528,0.135134034,0.839602438
-4,48,0.025006193,0.16972927,0.805264537
-4,49,0.022871974,0.176912016,0.800216009
-4,51,0.023665057,0.153550271,0.822784673
-4,52,0.024385011,0.140662047,0.834952941
-4,53,0.023276389,0.159656412,0.817067199
-4,54,0.022160897,0.156264832,0.821574272
-4,55,0.023563292,0.137389106,0.839047602
-4,56,0.024183907,0.126814529,0.849001564
-4,57,0.024768111,0.127947712,0.847284176
-4,58,0.024556463,0.140369386,0.835074151
-4,59,0.027078529,0.132351886,0.840569584
-3,48,0.023314364,0.169242734,0.807442902
-3,49,0.021400592,0.175097237,0.803502172
-3,51,0.022185241,0.159775191,0.818039568
-3,52,0.021455145,0.152287451,0.826257404
-3,53,0.021311529,0.146257083,0.832431388
-3,54,0.02218439,0.128679215,0.849136396
-3,55,0.023393227,0.130666769,0.845940004
-3,56,0.022437643,0.139145813,0.838416544
-3,57,0.023909549,0.135390279,0.840700172
-3,58,0.025043187,0.139470214,0.835486599
-2,45,0.026082651,0.169327291,0.804590059
-2,47,0.023902799,0.165115657,0.810981545
-2,48,0.022995578,0.165253276,0.811751146
-2,49,0.021409721,0.172864439,0.80572584
-2,50,0.021769679,0.172740427,0.805489894
-2,51,0.022465481,0.162575561,0.814958957
-2,52,0.021121389,0.154514149,0.824364462
-2,53,0.018826228,0.137823523,0.843350249
-2,54,0.018415125,0.129173425,0.85241145
-2,55,0.02020921,0.140546035,0.839244755
-2,56,0.021828769,0.139270331,0.8389009
-1,45,0.025324885,0.162318683,0.812356433
-1,46,0.023146743,0.158494152,0.818359105
-1,47,0.022692013,0.161195503,0.816112485
-1,48,0.022385986,0.155980385,0.821633629
-1,49,0.018937232,0.163030299,0.818032469
-1,50,0.020533201,0.172482406,0.806984393
-1,51,0.02103431,0.163394176,0.815571514
-1,52,0.021425066,0.161842224,0.81673271
-1,53,0.021516747,0.160412437,0.818070816
-1,54,0.019875766,0.151046898,0.829077337
-1,55,0.019213016,0.138531357,0.842255627
0,45,0.02472454,0.150522798,0.824752662
0,46,0.023913991,0.15387157,0.822214439
0,47,0.0222348,0.159214793,0.818550407
0,48,0.029491981,0.173050991,0.797457028
0,49,0.032982565,0.193140111,0.773877324
0,50,0.02189905,0.177843004,0.800257946
0,51,0.019661109,0.167219178,0.813119713
0,52,0.022232396,0.171136749,0.806630856
0,53,0.024923427,0.172367116,0.802709457
0,54,0.01817413,0.148634393,0.833191478
1,45,0.02868214,0.134174088,0.837143771
1,46,0.044817411,0.174516736,0.780665854
1,47,0.035352434,0.184936413,0.779711152
1,48,0.034680918,0.185802324,0.779516759
1,49,0.031891647,0.189797131,0.778311222
1,50,0.029350231,0.198582183,0.772067586
1,51,0.028107191,0.196942583,0.774950226
1,52,0.019075974,0.16850115,0.812422876
1,53,0.023832613,0.174972619,0.801194768
2,45,0.073883098,0.140439734,0.785677169
2,46,0.110528939,0.221586471,0.66788459
2,47,0.044846224,0.197630132,0.757523644
2,48,0.040114791,0.203825691,0.756059518
2,49,0.033098408,0.197994844,0.768906748
2,50,0.033667943,0.205598988,0.760733069
2,51,0.031646642,0.212845348,0.755508011
3,45,0.144259888,0.173264615,0.682475497
3,46,0.070061164,0.190618606,0.73932023
3,47,0.059346723,0.204097073,0.736556204
3,48,0.048149449,0.218919716,0.732930835
3,49,0.046398768,0.219703285,0.733897947
3,50,0.043548113,0.227849827,0.72860206
3,51,0.036723966,0.228952867,0.734323167
3,52,0.036589305,0.223020077,0.740390618
4,45,0.091149814,0.171069727,0.73778046
4,46,0.083087167,0.194759169,0.722153663
4,47,0.076441298,0.202992392,0.720566311
4,48,0.069077179,0.243664885,0.687257936
4,49,0.0643546,0.237748488,0.697896912
4,50,0.057671773,0.241352697,0.700975531
4,51,0.042019453,0.245877556,0.712102991
4,52,0.037721443,0.234429923,0.727848635
4,53,0.031852899,0.217905029,0.750242072
5,45,0.187073813,0.193563017,0.61936317
5,46,0.10324258,0.186927041,0.70983038
5,47,0.160363439,0.247757608,0.591878954
5,48,0.102751796,0.23842469,0.658823515
5,49,0.09367258,0.245589665,0.660737755
5,50,0.099017582,0.270862191,0.630120228
5,51,0.067195949,0.288031621,0.64477243
5,52,0.040379619,0.246670351,0.71295003
5,53,0.033014621,0.226600371,0.740385008
5,54,0.027621269,0.207005724,0.765373008
